"Data Set","Trait","Min","Mean","Max","SD"
"PreDCS","Grain Yield (Kg/Ha)",1666.0447261271,3804.57254206559,8147.75645409319,761.197584583274
"PostDCS","Grain Yield (Kg/Ha)",604.663428571105,4493.04295612408,7062.6119405364,648.580924134847
"PreDCS","Test Weight (Kg/Hl)",51.7840434456249,69.1604911062882,78.8501834775944,3.73452112367534
"PostDCS","Test Weight (Kg/Hl)",54.5902198530812,70.1261729302375,79.7102866480924,2.51782442141478
"PreDCS","WSMV Visual Ratings (Transformed)",-1.96758457976586,0.0338957587955561,2.21379914349052,0.789855692811759
"PostDCS","Viral Visual Ratings (Transformed)",-3.02427988914201,0.0937151502318798,3.52387710561048,0.91202947649426
